slug,title,episode_date,episode_type,transcript_url,transcript_available,raw_segments,usable_segments,page_title,fetch_status,cache_path
beau-is-afraid-the-most-audacious-and-polarizing-movie-of-the-year-with-ari-aster,"Beau Is Afraid: The Most Audacious and Polarizing Movie of the Year, With Ari Aster!",2023-04-21,NA,https://podscripts.co/podcasts/the-big-picture/beau-is-afraid-the-most-audacious-and-polarizing-movie-of-the-year-with-ari-aster,TRUE,169,168,"The Big Picture - Beau Is Afraid: The Most Audacious and Polarizing Movie of the Year, With Ari Aster!",ok,NA
the-10-best-horror-movies-so-far-this-year-plus-renfield-the-popes-exorcist-and-evil-dead-rise,"The 10 Best Horror Movies So Far This Year. Plus: Renfield,The Popes Exorcist, and Evil Dead Rise.",2023-04-18,NA,https://podscripts.co/podcasts/the-big-picture/the-10-best-horror-movies-so-far-this-year-plus-renfield-the-popes-exorcist-and-evil-dead-rise,TRUE,291,290,"The Big Picture - The 10 Best Horror Movies So Far This Year. Plus: Renfield,The Popes Exorcist, and Evil Dead Rise.",ok,NA
movie-swap-casablanca-vs-the-in-laws-vs-spy-kids,Movie Swap: Casablanca vs. The In-Laws vs. Spy Kids,2023-04-14,NA,https://podscripts.co/podcasts/the-big-picture/movie-swap-casablanca-vs-the-in-laws-vs-spy-kids,TRUE,219,219,The Big Picture - Movie Swap: Casablanca vs. The In-Laws vs. Spy Kids,ok,NA
the-two-best-movies-of-2023-so-far-and-10-more-we-missed-plus-michelle-williams-and-kelly-reichardt,"The Two Best Movies of 2023 So Far, and 10 More We Missed. Plus: Michelle Williams and Kelly Reichardt!",2023-04-11,NA,https://podscripts.co/podcasts/the-big-picture/the-two-best-movies-of-2023-so-far-and-10-more-we-missed-plus-michelle-williams-and-kelly-reichardt,TRUE,199,199,"The Big Picture - The Two Best Movies of 2023 So Far, and 10 More We Missed. Plus: Michelle Williams and Kelly Reichardt!",ok,NA
the-magic-of-air-and-the-return-of-ben-affleck-and-matt-damon,The Magic of Air and the Return of Ben Affleck and Matt Damon,2023-04-07,NA,https://podscripts.co/podcasts/the-big-picture/the-magic-of-air-and-the-return-of-ben-affleck-and-matt-damon,TRUE,204,203,The Big Picture - The Magic of Air and the Return of Ben Affleck and Matt Damon,ok,NA
the-super-mario-bros-movie-is-here-is-our-video-game-movie-future,The Super Mario Bros. Movie Is Here! Is Our Video Game Movie Future?,2023-04-05,NA,https://podscripts.co/podcasts/the-big-picture/the-super-mario-bros-movie-is-here-is-our-video-game-movie-future,TRUE,143,142,The Big Picture - The Super Mario Bros. Movie Is Here! Is Our Video Game Movie Future?,ok,NA
dungeons-dragons-honor-among-thieves-is-good-but-are-movies-just-brands-now,Dungeons & Dragons: Honor Among Thieves Is Good. But Are Movies Just Brands Now?,2023-03-31,NA,https://podscripts.co/podcasts/the-big-picture/dungeons-dragons-honor-among-thieves-is-good-but-are-movies-just-brands-now,TRUE,218,218,The Big Picture - Dungeons & Dragons: Honor Among Thieves Is Good. But Are Movies Just Brands Now?,ok,NA
the-2008-movie-draft,The 2008 Movie Draft,2023-03-28,NA,https://podscripts.co/podcasts/the-big-picture/the-2008-movie-draft,TRUE,371,370,The Big Picture - The 2008 Movie Draft,ok,NA
the-keanu-reeves-hall-of-fame-and-john-wick-chapter-4,The Keanu Reeves Hall of Fame and John Wick: Chapter 4,2023-03-24,NA,https://podscripts.co/podcasts/the-big-picture/the-keanu-reeves-hall-of-fame-and-john-wick-chapter-4,TRUE,319,318,The Big Picture - The Keanu Reeves Hall of Fame and John Wick: Chapter 4,ok,NA
the-movie-star-playbook-adam-driver-edition-plus-did-the-superhero-era-just-die,The Movie Star Playbook: Adam Driver Edition. Plus: Did the Superhero Era Just Die?,2023-03-21,NA,https://podscripts.co/podcasts/the-big-picture/the-movie-star-playbook-adam-driver-edition-plus-did-the-superhero-era-just-die,TRUE,200,200,The Big Picture - The Movie Star Playbook: Adam Driver Edition. Plus: Did the Superhero Era Just Die?,ok,NA
