page,row_on_page,title,episode_date,summary,transcript_url,slug,episode_type,year
3,2,The 10 Best Horror Movies of 2025 and Black Phone 2,2025-10-21,"On todays show Chris Ryan joins Sean to unpack the year 2025 in horror movies. But first, they hit a handful of movie news headlines, including rumor...",https://podscripts.co/podcasts/the-big-picture/the-10-best-horror-movies-of-2025-and-black-phone-2,the-10-best-horror-movies-of-2025-and-black-phone-2,standard,2025
3,3,"The Should I See It in a Movie Theater? Test: Tron: Ares,Roofman, and After the Hunt. Plus, the Magic of Mr. Scorsese.",2025-10-17,"Sean and Amanda begin the show by honoring the legendary actor Diane Keaton, who passed away at 79 last Saturday (3:19). Then, following a disappointi...",https://podscripts.co/podcasts/the-big-picture/the-should-i-see-it-in-a-movie-theater-test-tron-ares-roofman-and-after-the-hunt-plus-the-magic-of-mr-scorsese,the-should-i-see-it-in-a-movie-theater-test-tron-ares-roofman-and-after-the-hunt-plus-the-magic-of-mr-scorsese,standard,2025
3,4,The 25 Best Movies of the Century: No. 9 - 'Mad Max: Fury Road,2025-10-14,"Sean and Amanda return to continue their yearlong project of listing the 25 best movies of the 21st century so far. Today, they discuss George Miller...",https://podscripts.co/podcasts/the-big-picture/the-25-best-movies-of-the-century-no-9-mad-max-fury-road,the-25-best-movies-of-the-century-no-9-mad-max-fury-road,standard,2025
3,5,The Daniel Day-Lewis Hall of Fame,2025-10-10,Sean and Amanda are joined by David Sims of the Blank Check podcast to commemorate the incredible career of Daniel Day-Lewis. They begin the show by d...,https://podscripts.co/podcasts/the-big-picture/the-daniel-day-lewis-hall-of-fame,the-daniel-day-lewis-hall-of-fame,ranking,2025
3,6,"The New York City Movie Draft, With Griffin Newman and David Sims!",2025-10-07,"Live from New York, its 'Saturday Night'! Sean and Amanda are joined by Chris Ryan, plus Griffin Newman and David Sims of the Blank Check podcast, to...",https://podscripts.co/podcasts/the-big-picture/the-new-york-city-movie-draft-with-griffin-newman-and-david-sims,the-new-york-city-movie-draft-with-griffin-newman-and-david-sims,draft,2025
3,7,One Battle After Another: A Second Opinion With Van Lathan,2025-10-05,"On a very special bonus episode of the podcast, Van Lathan joins the show and gets the chance to share his perspective on the box office debate for O...",https://podscripts.co/podcasts/the-big-picture/one-battle-after-another-a-second-opinion-with-van-lathan,one-battle-after-another-a-second-opinion-with-van-lathan,interview,2025
3,8,"Best Picture Power Rankings and The Rocks Oscar Bid in The Smashing Machine, with Benny Safdie!",2025-10-03,"Sean and Amanda get in the ring with Van Lathan to go multiple rounds on Benny Safdies new film, The Smashing Machine, starring Dwayne The Rock J...",https://podscripts.co/podcasts/the-big-picture/best-picture-power-rankings-and-the-rocks-oscar-bid-in-the-smashing-machine-with-benny-safdie,best-picture-power-rankings-and-the-rocks-oscar-bid-in-the-smashing-machine-with-benny-safdie,oscar,2025
3,9,The 25 Best Movies of the Century: No. 10 - 'Marie Antoinette,2025-10-01,"Sean and Amanda return to continue their yearlong project of listing the 25 best movies of the 21st century so far. Today, they discuss Sofia Coppola...",https://podscripts.co/podcasts/the-big-picture/the-25-best-movies-of-the-century-no-10-marie-antoinette,the-25-best-movies-of-the-century-no-10-marie-antoinette,standard,2025
3,10,"One Mailbag After Another, and the Updated PTA Movie Rankings",2025-09-29,Sean and Amanda have an action-packed episode today following the release of Paul Thomas Andersons One Battle After Another.' They begin the show by...,https://podscripts.co/podcasts/the-big-picture/one-mailbag-after-another-and-the-updated-pta-movie-rankings,one-mailbag-after-another-and-the-updated-pta-movie-rankings,mailbag,2025
3,11,"One Battle After Another Is a Modern Masterpiece, With Leonardo DiCaprio and Paul Thomas Anderson!",2025-09-26,"Sean and Amanda are joined by Chris Ryan to break down their most anticipated movie of the year: Paul Thomas Andersons One Battle After Another, st...",https://podscripts.co/podcasts/the-big-picture/one-battle-after-another-is-a-modern-masterpiece-with-leonardo-dicaprio-and-paul-thomas-anderson,one-battle-after-another-is-a-modern-masterpiece-with-leonardo-dicaprio-and-paul-thomas-anderson,interview,2025
3,12,The 25 Best Movies of the Century: No. 11 - 'The Wolf of Wall Street,2025-09-24,"Sean and Amanda return to continue their yearlong project of listing the 25 best movies of the 21st century so far. Today, they discuss Martin Scorses...",https://podscripts.co/podcasts/the-big-picture/the-25-best-movies-of-the-century-no-11-the-wolf-of-wall-street,the-25-best-movies-of-the-century-no-11-the-wolf-of-wall-street,standard,2025
